Characteristic,Inflation rate compared to previous year
2029*,3%
2028*,3%
2027*,3%
2026*,2.91%
2025*,3.55%
2024*,3.72%
2023,17.14%
2022,14.62%
2021,5.11%
2020,3.31%
2019,3.37%
2018,2.84%
2017,2.35%
2016,0.4%
2015,-0.07%
2014,-0.23%
2013,1.71%
2012,5.66%
2011,3.93%
2010,4.87%
2009,4.2%
2008,6.06%
2007,7.95%
2006,3.9%
2005,3.56%
2004,6.75%
2003,4.66%
2002,5.26%
2001,9.15%
2000,9.79%
1999,9.97%
1998,14.23%
1997,18.3%
1996,23.45%
1995,28.3%
1994,18.87%
1993,22.45%
1992,22.95%
1991,34.23%
1990,28.97%
1989,16.95%
